BLZ;eigene BLZ;Bezeichnung;PLZ;ORT;Kurzbezeichnung;PAN;BIC;Prüfziffer;lfd Nr;Änderungskennzeichen;Löschungsankündigung;Nachfolgeblz;IBAN
10000000;1;Bundesbank;10591;Berlin;BBk Berlin;20100;MARKDEF1100;09;011380;U;0;00000000;004201
10010010;1;Postbank;10916;Berlin;Postbank Berlin;10010;PBNKDEFFXXX;24;000538;U;0;00000000;000000
10010111;1;SEB;10789;Berlin;SEB Berlin;25805;ESSEDE5F100;13;005361;U;0;00000000;005600
10010424;1;Aareal Bank;10666;Berlin;Aareal Bank;26910;AARBDE5W100;09;004795;U;0;00000000;000000
10011001;1;N26 Bank;10179;Berlin;N26 Bank Berlin;;NTSBDEB1XXX;09;056796;U;0;00000000;000000
10019610;1;Dexia Kommunalbank Deutschland;10969;Berlin;Dexia Berlin;;DXIADEBBXXX;09;055273;U;0;00000000;000000
10020200;1;BHF-BANK;10117;Berlin;BHF-BANK Berlin;25155;BHFBDEFF100;60;004794;U;0;00000000;000800
10020500;1;Bank für Sozialwirtschaft;10178;Berlin;Bank für Sozialwirtschaft;25013;BFSWDE33BER;09;000530;U;0;00000000;000000
10020510;1;Bank für Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33B10;09;056659;U;0;00000000;000000
10020520;1;Bank für Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33B20;09;056662;U;0;00000000;000000
10020890;1;UniCredit Bank - HypoVereinsbank;10896;Berlin;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;039785;U;0;00000000;003200
10020890;2;UniCredit Bank - HypoVereinsbank;14532;Kleinmachnow;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049352;U;0;00000000;003200
10020890;2;UniCredit Bank - HypoVereinsbank;16515;Oranienburg;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049745;U;0;00000000;003200
10020890;2;UniCredit Bank - HypoVereinsbank;14776;Brandenburg an der Havel;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049746;U;0;00000000;003200
10020890;2;UniCredit Bank - HypoVereinsbank;15711;Königs Wusterhausen;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488;99;049747;U;0;00000000;003200
10030200;1;Berlin Hyp;10787;Berlin;Berlin Hyp;26706;BHYPDEB2XXX;09;037413;U;0;00000000;000000
10030400;1;ABK Allgemeine Beamten Bank;10115;Berlin;ABK Bank Berlin;25686;ABKBDEB1XXX;09;044427;U;0;00000000;000000
10030500;1;Bankhaus Löbbecke;10117;Berlin;Bankhaus Löbbecke Berlin;26225;LOEBDEBBXXX;09;043961;U;0;00000000;000000
10030600;1;North Channel Bank;55118;Mainz;North Channel Bank Mainz;26205;GENODEF1OGK;88;000532;U;0;00000000;000000
10030700;1;Eurocity Bank;60311;Frankfurt am Main;Eurocity Bank;26535;DLGHDEB1XXX;16;044339;U;0;00000000;000000
10031000;1;EIS Einlagensicherungsbank;10178;Berlin;EIS Bank Berlin;;EIEGDEB1XXX;09;056711;U;0;00000000;000000
10033300;1;Santander Consumer Bank;10439;Berlin;Santander Bank Berlin;29411;SCFBDE33XXX;09;055979;U;0;00000000;004700
10040000;1;Commerzbank, Filiale Berlin 1;10891;Berlin;Commerzbank Fil. Berlin 1;24100;COBADEBBXXX;13;024463;U;0;00000000;000503
10040005;1;Commerzbank, Filiale Berlin 3;10891;Berlin;Commerzbank Fil. Berlin 3;24001;COBADEBBXXX;13;056713;U;0;00000000;000503
10040010;1;Commerzbank, CC SP;10877;Berlin;Commerzbank CC SP, Berlin;;COBADEFFXXX;09;056240;U;0;00000000;000503
10040048;1;Commerzbank GF-B48;10891;Berlin;Commerzbank BER GF-B48;24148;COBADEFFXXX;13;055618;U;0;00000000;000503
10040060;1;Commerzbank Gf 160;10891;Berlin;Commerzbank Gf 160 Berlin;24101;COBADEFFXXX;09;052880;U;0;00000000;000503
10040061;1;Commerzbank Gf 161;10891;Berlin;Commerzbank Gf 161 Berlin;24102;COBADEFFXXX;09;052894;U;0;00000000;000503
10040062;1;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX;09;055826;U;0;00000000;000503
10040063;1;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX;09;055827;U;0;00000000;000503
10040085;1;Commerzbank, Gf Web-K;10877;Berlin;Commerzbank Gf WK, Berlin;;COBADEFFXXX;13;056368;U;0;00000000;000503
10045050;1;Commerzbank Service-BZ;10785;Berlin;Commerzbank Service-BZ;;COBADEFFXXX;13;050927;U;0;00000000;000503
10050000;1;Landesbank Berlin - Berliner Sparkasse;10889;Berlin;LBB - Berliner Sparkasse;51000;BELADEBEXXX;B8;002745;U;0;00000000;000400
10050005;1;Landesbank Berlin - E 1 -;10889;Berlin;Landesbank Berlin - E 1 -;51005;BELADEB1DB5;C6;047222;U;0;00000000;000000
10050006;1;Landesbank Berlin - E 2 -;10889;Berlin;Landesbank Berlin - E 2 -;51006;BELADEB1DB6;D1;047223;U;0;00000000;000000
10050007;1;Landesbank Berlin - E 3 -;10889;Berlin;Landesbank Berlin - E 3 -;51007;BELADEB1DB7;D4;055701;U;0;00000000;000000
10050008;1;Landesbank Berlin - E 4 -;10889;Berlin;Landesbank Berlin - E 4 -;51008;BELADEB1DB8;E2;055699;U;0;00000000;000000
10050020;1;LBB S-Kreditpartner, Berlin;10715;Berlin;LBB S-Kreditpartner, Berlin;;SKPADEB1XXX;B8;055974;U;0;00000000;000000
10050500;1;LBS Ost Berlin;10405;Berlin;LBS Ost Berlin;;LBSODEB1BLN;09;046141;U;0;00000000;000000
10050999;1;DekaBank Berlin;10249;Berlin;DekaBank Berlin;;DGZFDEFFBER;09;004788;U;0;00000000;000000
10060198;1;Pax-Bank;14005;Berlin;Pax-Bank Berlin;61335;GENODED1PA6;06;047622;U;1;37060193;000100
10061006;1;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;10117;Berlin;KD-Bank Berlin;;GENODED1KDB;09;055270;U;0;00000000;000000
10070000;1;Deutsche Bank Fil Berlin;10883;Berlin;Deutsche Bank Fil Berlin;27060;DEUTDEBBXXX;63;004787;U;0;00000000;002002
10070000;2;Deutsche Bank Fil Berlin Gf P2;10883;Berlin;Deutsche Bank Fil Berlin;27703;;63;055917;U;0;00000000;002002
10070000;2;Deutsche Bank Fil Berlin Gf P2;10883;Berlin;Deutsche Bank Fil Berlin;27700;;63;056400;U;0;00000000;002002
10070024;1;Deutsche Bank Privat und Geschäftskunden F 700;10883;Berlin;Deutsche Bank PGK Berlin;21060;DEUTDEDBBER;63;049758;U;0;00000000;002002
10070024;2;Deutsche Bank Privat und Geschäftskunden F 700 Gf P2;10883;Berlin;Deutsche Bank PGK Berlin;21703;;63;055916;U;0;00000000;002002
10070024;2;Deutsche Bank Privat und Geschäftskunden F 700 Gf P2;10883;Berlin;Deutsche Bank PGK Berlin;21700;;63;056401;U;0;00000000;002002
10070100;1;Deutsche Bank Fil Berlin II;10883;Berlin;Deutsche Bank Fil Berlin II;27701;DEUTDEBB101;63;053102;U;0;00000000;002002
10070124;1;Deutsche Bank Privat und Geschäftskd Berlin II;10883;Berlin;Deutsche Bank PGK Berlin II;21701;DEUTDEDB101;63;053103;U;0;00000000;002002
10070848;1;Berliner Bank Niederlassung der Deutsche Bank PGK;10623;Berlin;Berliner Bk Ndl Deutsche Bk;21848;DEUTDEDB110;63;055502;U;0;00000000;002002
10077777;1;norisbank;10625;Berlin;norisbank Berlin;21431;NORSDE51XXX;63;053532;U;0;00000000;002002
10080000;1;Commerzbank vormals Dresdner Bank Filiale Berlin I;10877;Berlin;Commerzbank Fil I Berlin;28100;DRESDEFF100;76;024465;U;0;00000000;000503
10080005;1;Commerzbank vormals Dresdner Bank Zw A;10623;Berlin;Commerzbank Berlin Zw A;;DRESDEFFI26;76;046513;U;0;00000000;000503
10080006;1;Commerzbank vormals Dresdner Bank Zw B;10623;Berlin;Commerzbank Berlin Zw B;;DRESDEFFXXX;76;046514;U;0;00000000;000503
10080055;1;Commerzbank vormals Dresdner Bank Zw 55;10623;Berlin;Commerzbank Zw 55 Berlin;28101;DRESDEFF112;76;053527;U;0;00000000;000503
10080057;1;Commerzbank vormals Dresdner Bank Gf ZW 57;10877;Berlin;Commerzbk ZW 57 Berlin;28103;DRESDEFF114;76;053520;U;0;00000000;000503
10080085;1;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;10877;Berlin;Commerzbank ITKG3 Berlin;;DRESDEFFI53;09;054940;U;0;00000000;000503
10080086;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;10877;Berlin;Commerzbank ITGK4 Berlin;;DRESDEFFI71;09;055157;U;0;00000000;000503
10080087;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;10877;Berlin;Commerzbank ITGK5 Berlin;;DRESDEFFI72;09;055158;U;0;00000000;000503
10080088;1;Commerzbank vormals Dresdner Bank IBLZ;10623;Berlin;Commerzbank IBLZ Berlin;;DRESDEFFXXX;76;044595;U;0;00000000;000503
10080089;1;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;10877;Berlin;Commerzbank ITGK6 Berlin;;DRESDEFFI73;09;055159;U;0;00000000;000503
10080900;1;Commerzbank vormals Dresdner Bank Filiale Berlin III;10877;Berlin;Commerzbk Fil III Berlin;28109;DRESDEFF199;76;000534;U;0;00000000;000503
10089260;1;Commerzbank vormals Dresdner Bank ITGK;10877;Berlin;Commerzbank ITGK Berlin;;DRESDEFFI14;09;050474;U;0;00000000;000503
10089999;1;Commerzbank vormals Dresdner Bank ITGK 2;10117;Berlin;Commerzbank ITGK 2 Berlin;;DRESDEFFI99;09;052938;U;0;00000000;000503
10090000;1;Berliner Volksbank;10892;Berlin;Berliner VB Berlin;91001;BEVODEBBXXX;06;023299;U;0;00000000;000000
10090000;2;Berliner Volksbank;15711;Königs Wusterhausen;Berliner VB Königs Wusterhs;91001;;06;044951;U;0;00000000;000000
10090000;2;Berliner Volksbank;14979;Großbeeren;Berliner VB Großbeeren;91001;;06;044952;U;0;00000000;000000
10090000;2;Berliner Volksbank;16816;Neuruppin;Berliner VB Neuruppin;91001;;06;044970;U;0;00000000;000000
10090000;2;Berliner Volksbank;16515;Oranienburg;Berliner VB Oranienburg;91001;;06;044974;U;0;00000000;000000
10090000;2;Volksbank Potsdam Zndl d Berliner Volksbank;14467;Potsdam;Volksbank Potsdam;91001;;06;044983;U;0;00000000;000000
10090000;2;Berliner Volksbank;15344;Strausberg;Berliner VB Strausberg;91001;;06;045010;U;0;00000000;000000
10090000;2;Berliner Volksbank;16792;Zehdenick;Berliner VB Zehdenick;91001;;06;045019;U;0;00000000;000000
10090000;2;Berliner Volksbank;14547;Beelitz;Berliner Volksbank Beelitz;91001;;06;045734;U;0;00000000;000000
10090000;2;Berliner Volksbank Fil Rheinsberg;16831;Rheinsberg;Berliner VB Rheinsberg;91001;;06;046040;U;0;00000000;000000
10090000;2;Berliner Volksbank;14929;Treuenbrietzen;Berliner VB Treuenbrietzen;91001;;06;046045;U;0;00000000;000000
10090000;2;Berliner Volksbank;15757;Halbe;Berliner VB Halbe;91001;;06;046047;U;0;00000000;000000
10090000;2;Berliner Volksbank;16321;Bernau bei Berlin;Berliner VB Bernau;91001;;06;046058;U;0;00000000;000000
10090000;2;Berliner Volksbank;14641;Nauen;Berliner VB Nauen;91001;;06;046770;U;0;00000000;000000
10090000;2;Berliner Volksbank;16766;Kremmen;Berliner VB Kremmen;91001;;06;047003;U;0;00000000;000000
10090000;2;Berliner Volksbank;16540;Hohen Neuendorf;Berliner VB Hohen Neuendorf;91001;;06;047004;U;0;00000000;000000
10090000;2;Berliner Volksbank;14542;Werder (Havel);Berliner VB Werder;91001;;06;047007;U;0;00000000;000000
10090000;2;Berliner Volksbank;16866;Kyritz;Berliner VB Kyritz;91001;;06;047009;U;0;00000000;000000
10090000;2;Berliner Volksbank;16909;Wittstock/Dosse;Berliner VB Wittstock;91001;;06;047010;U;0;00000000;000000
10090000;2;Berliner Volksbank;16775;Gransee;Berliner VB Gransee;91001;;06;047021;U;0;00000000;000000
10090000;2;Berliner Volksbank Fil Velten;16727;Velten;Berliner VB Velten;91001;;06;047216;U;0;00000000;000000
10090000;2;Berliner Volksbank;14558;Nuthetal;Berliner Volksbank Saarmund;91001;;06;047443;U;0;00000000;000000
10090000;2;Berliner Volksbank;15732;Eichwalde;Berliner Volksbank;91001;;06;048382;U;0;00000000;000000
10090000;2;Berliner Volksbank;15562;Rüdersdorf;Berliner Volksbank;91001;;06;048383;D;0;00000000;000000
10090000;2;Berliner Volksbank;16348;Wandlitz;Berliner Volksbank;91001;;06;048384;U;0;00000000;000000
10090000;2;Berliner Volksbank;16761;Hennigsdorf;Berliner VB Hennigsdorf;91001;;06;048909;U;0;00000000;000000
10090000;2;Berliner Volksbank;16775;Löwenberger Land;Berliner VB Löwenberg;91001;;06;049392;U;0;00000000;000000
10090000;2;Berliner Volksbank;16798;Fürstenberg/Havel;Berliner VB Fürstenberg;91001;;06;049394;U;0;00000000;000000
10090000;2;Berliner Volksbank;16247;Joachimsthal;Berliner VB Joachimsthal;91001;;06;049434;U;0;00000000;000000
10090000;2;Berliner Volksbank (eh Grundkreditbank);14513;Teltow;Berliner VB Teltow;91001;;06;050571;U;0;00000000;000000
10090000;2;Berliner Volksbank;16225;Eberswalde;Berliner VB Eberswalde;91001;;06;051684;U;0;00000000;000000
10090000;2;Berliner Volksbank;15366;Neuenhagen;Berliner VB Neuenhagen;91001;;06;053326;U;0;00000000;000000
10090000;2;Berliner Volksbank (Gf P2);10892;Berlin;Berliner VB Berlin;81001;;06;053669;U;0;00000000;000000
10090000;2;Berliner Volksbank;14612;Falkensee;Berliner VB Falkensee;91001;;06;056636;U;0;00000000;000000
10090300;1;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;13353;Berlin;Bk f Schiffahrt BFS Berlin;;GENODEF1BSB;09;021629;U;1;00000000;000000
10090603;1;apoBank;10593;Berlin;apoBank Berlin;91006;DAAEDED1003;A4;030360;U;0;00000000;001400
10090603;2;apoBank;19061;Schwerin;apoBank Schwerin;91006;DAAEDED1042;A4;046110;U;0;00000000;001400
10090603;2;apoBank;01099;Dresden;apoBank Dresden;91006;DAAEDED1043;A4;046126;U;0;00000000;001400
10090603;2;apoBank;04129;Leipzig;apoBank Leipzig;91006;DAAEDED1041;A4;046410;U;0;00000000;001400
10090603;2;apoBank;09111;Chemnitz;apoBank Chemnitz;91006;DAAEDED1049;A4;046553;U;0;00000000;001400
10090603;2;apoBank;99084;Erfurt;apoBank Erfurt;91006;DAAEDED1045;A4;046554;U;0;00000000;001400
10090603;2;apoBank;39104;Magdeburg;apoBank Magdeburg;91006;DAAEDED1046;A4;046555;U;0;00000000;001400
10090603;2;apoBank;14467;Potsdam;apoBank Potsdam;91006;DAAEDED1048;A4;046556;U;0;00000000;001400
10090603;2;apoBank;18057;Rostock;apoBank Rostock;91006;;A4;046557;U;0;00000000;001400
10090900;1;PSD Bank Berlin-Brandenburg;12154;Berlin;PSD Bank Berlin;91008;GENODEF1P01;91;024464;U;0;00000000;000000
10110300;1;Privatbank Berlin von 1929;10631;Berlin;Privatbank Berlin von 1929;26240;MACODEB1XXX;09;000536;U;0;00000000;000000
10110400;1;Investitionsbank Berlin;10702;Berlin;Investitionsbank Berlin;;IBBBDEBBXXX;09;000537;U;0;00000000;000000
10110600;1;quirin bank;10711;Berlin;quirin bank;25207;QUBKDEBBXXX;17;049702;U;0;00000000;000000
10120100;1;Weberbank;10893;Berlin;Weberbank;51012;WELADED1WBB;94;013621;U;0;00000000;000000
10120600;1;Santander Consumer Bank;60313;Frankfurt am Main;Santander Consumer Bank;25007;SCFBDE33XXX;09;044605;U;0;00000000;000000
10120800;1;VON ESSEN Bank;10719;Berlin;VON ESSEN Bank Berlin;26037;VONEDE33BLN;09;044118;U;0;00000000;004800
10130600;1;Isbank Fil Berlin;13303;Berlin;Isbank Berlin;29835;ISBKDEFXBER;06;043850;U;0;00000000;000000
10130800;1;BIW Bank;47877;Willich;BIW Bank;25185;BIWBDE33XXX;01;050620;U;0;00000000;000000
10220500;1;Bank of Scotland Ndl Berlin;10178;Berlin;Bank of Scotland Berlin;;BOFSDEB1XXX;00;056412;U;0;00000000;000000
